,0
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Hawaii
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Maryland
11,Massachusetts
12,Minnesota
13,Missouri
14,Montana
15,Nebraska
16,New Hampshire
17,New Jersey
18,Utah
19,Vermont
20,Virginia
21,West Virginia
22,Wisconsin
